Timestamp,Position_N,Position_E,Position_D,Velocity_N,Velocity_E,Velocity_D,Attitude_Roll,Attitude_Pitch,Attitude_Yaw,Motor_RPMs
1747351078.323084,-0.0020000000949949026,47.3979709,8.5461635,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.008165266364812851,0.031762320548295975,90.857421875,0.0
1747351078.424228,-0.0020000000949949026,47.397971,8.5461635,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.007732253987342119,0.03174789994955063,90.8554458618164,0
1747351078.5249474,-0.0020000000949949026,47.397971,8.5461635,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.00711614778265357,0.031643904745578766,90.85254669189453,0
1747351078.6256685,-0.0010000000474974513,47.397971,8.5461634,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.0067062280140817165,0.03154879808425903,90.8505859375,0
1747351078.7265325,-0.0010000000474974513,47.397971,8.5461634,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.0060924990102648735,0.031397342681884766,90.84687805175781,0
1747351078.8271437,-0.0010000000474974513,47.397971,8.5461634,0.019999999552965164,-0.019999999552965164,0.029999999329447746,-0.005741487257182598,0.03134080022573471,90.8434066772461,0
1747351078.9278421,0.0,47.397971,8.5461634,0.019999999552965164,-0.029999999329447746,0.029999999329447746,-0.005259388126432896,0.031047610566020012,90.83824920654297,0
1747351079.0284457,0.0,47.397971,8.5461634,0.009999999776482582,-0.029999999329447746,0.029999999329447746,-0.005009325686842203,0.030900154262781143,90.8348617553711,0
1747351079.1291552,0.0,47.397971,8.5461634,0.009999999776482582,-0.029999999329447746,0.029999999329447746,-0.004695245996117592,0.03065999038517475,90.82994079589844,0
1747351079.2298002,0.0,47.397971,8.5461634,0.0,-0.03999999910593033,0.019999999552965164,-0.004648917820304632,0.030452469363808632,90.82670593261719,0
1747351079.3307304,0.0,47.397971,8.5461634,0.0,-0.03999999910593033,0.009999999776482582,-0.0043838536366820335,0.030135704204440117,90.82211303710938,0
1747351079.4313831,0.0010000000474974513,47.397971,8.5461634,0.0,-0.03999999910593033,0.0,-0.004325305111706257,0.02986692450940609,90.81924438476562,0
1747351079.5320258,0.003000000026077032,47.397971,8.5461634,0.0,-0.03999999910593033,-0.029999999329447746,-0.004159493837505579,0.02955038845539093,90.8150634765625,0
1747351079.6327384,0.004000000189989805,47.397971,8.5461634,0.0,-0.029999999329447746,-0.04999999701976776,-0.004098227247595787,0.029220769181847572,90.80862426757812,0
1747351079.7337494,0.007000000216066837,47.397971,8.5461634,0.0,-0.029999999329447746,-0.07999999821186066,-0.0039038718678057194,0.028826337307691574,90.78864288330078,0
1747351079.834456,0.009000000543892384,47.397971,8.5461634,0.0,-0.029999999329447746,-0.10999999940395355,-0.0037666610442101955,0.027319619432091713,90.76519775390625,0
1747351079.9354148,0.014000000432133675,47.397971,8.5461634,0.0,-0.029999999329447746,-0.14999999105930328,-0.0006427314947359264,0.017456218600273132,90.70760345458984,0
1747351080.0360942,0.018000001087784767,47.397971,8.5461634,0.0,-0.029999999329447746,-0.17999999225139618,0.013559862039983273,0.0009904844919219613,90.6473388671875,0
1747351080.136871,0.024000000208616257,47.397971,8.5461634,0.0,-0.019999999552965164,-0.2199999988079071,0.0124575300142169,-0.035720035433769226,90.53910064697266,0
